X,Y,DUSTBIN_ID,SUB_ZONE,CAPACITY,PERMANENT,LOCALITY,WARD_ID,TYPE,LATITUDE,LONGITUDE,TIME_ST,Ward,Zone
698426.7104,2798437.028,D0001,Nagwa,1.1,Temporary,"N 10/70 13, Badi Patiya Rd, New Colony Kakarmatta, Sundarpur, Nagwa, Varanasi, Uttar Pradesh 221004, India",W059,Dustbin,25.28927,82.97077,02-06-2018,Raneepur,Bhelupur
700177.9349,2799626.284,D0002,Nagwa,1.1,Temporary,"Mahamoorganj, Varanasi, UP, India",W027,Dustbin,25.29977,82.98833,02-06-2018,Virdopur,Bhelupur
699790.0858,2801126.306,D0003,Dashaswamedh,1.1,Temporary,"C33/360-A-7, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31336,82.9847,02-06-2018,Shivpurwa,Dashaswamedh
699860.6079,2800988.851,D0004,Dashaswamedh,1.1,Temporary,"D59/143-17, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31211,82.98538,02-06-2018,Shivpurwa,Dashaswamedh
699795.5639,2805442.061,D0005,Sarnath,1.1,Temporary,"Pandit D Upadhyay Mental Hospital Road, Pandeypur, Varanasi 221007, India",W016,Dustbin,25.35231,82.98539,02-06-2018,Pandeypur,Varunapar
701824.689,2800171.582,D0006,Dashaswamedh,1.1,Temporary,"Bangali Tola, Varanasi, UP, India",W083,Dustbin,25.30447,83.00476,02-06-2018,Madanpura,Dashaswamedh
700449.1884,2800419.209,D0007,Bhelupur,1.1,Temporary,"Rathyatra, Varanasi, UP, India",W027,Dustbin,25.30689,82.99114,02-06-2018,Virdopur,Bhelupur
700498.4473,2800425.481,D0008,Bhelupur,1.1,Temporary,"Rath Yatra Chauraha, Vinayaka, Varanasi 221010, India",W027,Dustbin,25.30694,82.99163,02-06-2018,Virdopur,Bhelupur
700526.0777,2800328.388,D0009,Bhelupur,1.1,Temporary,"Kamachha Road, Vinayaka, Varanasi 221010, India",W027,Dustbin,25.30606,82.99189,02-06-2018,Virdopur,Bhelupur
700498.1839,2800443.206,D0010,Dashaswamedh,1.1,Temporary,"Rath Yatra Chauraha, Rathyatra, Varanasi 221010, India",W032,Dustbin,25.3071,82.99163,02-06-2018,Sigra,Dashaswamedh
699983.9333,2801026.135,D0011,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31243,82.98661,02-06-2018,Shivpurwa,Dashaswamedh
700215.5006,2800895.503,D0012,Dashaswamedh,1.1,Temporary,"Sigra Chauraha Rd, Sigra, Varanasi, Uttar Pradesh 221001, India",W032,Dustbin,25.31122,82.98889,02-06-2018,Sigra,Dashaswamedh
699417.9138,2805244.776,D0013,Sikraul,1.1,Temporary,"Bindhwasinnagar, Bhojubir, Varanasi, UP, India",W038,Dustbin,25.35058,82.98161,02-06-2018,Dithori Mahal,Varunapar
698344.5916,2798678.47,D0014,Nagwa,1.1,Temporary,"Manduwadih Rd, Jjanki Nagar, Varanasi, Uttar Pradesh 221005, India",W059,Dustbin,25.29146,82.96999,02-06-2018,Raneepur,Bhelupur
699753.7222,2801133.523,D0015,Dashaswamedh,1.1,Temporary,"L-11, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31343,82.98434,02-06-2018,Shivpurwa,Dashaswamedh
699886.8535,2800984.808,D0016,Dashaswamedh,1.1,Temporary,"D59/143/A-3, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31207,82.98564,02-06-2018,Shivpurwa,Dashaswamedh
700004.8962,2803481.782,D0017,Sikraul,1.1,Temporary,"Nadesar, Varanasi, UP, India",W020,Dustbin,25.33459,82.98718,02-06-2018,Raja Bazar,Varunapar
701268.3248,2802895.624,D0018,Chetganj,1.1,Temporary,"J12/127, Jagatganj, Chaukaghat, Varanasi, Uttar Pradesh 221002, India",W037,Dustbin,25.32913,82.99964,02-06-2018,Jagatganj,Dashaswamedh
700397.1853,2801546.385,D0019,Chetganj,1.1,Temporary,"C19/138-4, Naipokhari, Chetganj, Varanasi, Uttar Pradesh 221001, India",W041,Dustbin,25.31707,82.99079,02-06-2018,Lallapura Khurd,Dashaswamedh
699754.7127,2801134.646,D0020,Dashaswamedh,1.1,Temporary,"L-11, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31344,82.98435,02-06-2018,Shivpurwa,Dashaswamedh
699836.0452,2796729.345,D0021,Nagwa,1.1,Temporary,"Dharmjeet Nagar, Varanasi, UP, India",W031,Dustbin,25.27367,82.98451,02-06-2018,Naria,Bhelupur
700441.1219,2801978.052,D0022,Chetganj,1.1,Temporary,"Chetganj Road, Badshahbag Colony, Kashi Vidyapith, Chetganj, Varanasi, Uttar Pradesh 221002, India",W041,Dustbin,25.32096,82.99129,02-06-2018,Lallapura Khurd,Dashaswamedh
699550.9375,2800340.518,D0023,Dashaswamedh,1.1,Temporary,"D59/76B-1, Sigra - Mahmoorganj Rd, Sigra, Varanasi, Uttar Pradesh 221010, India",W032,Dustbin,25.3063,82.98221,02-06-2018,Sigra,Dashaswamedh
700668.2191,2804040.111,D0024,Sikraul,1.1,Temporary,"10/33, Maqbool Alam Rd, Khajuri Colony, Varanasi, Uttar Pradesh 221002, India",W005,Dustbin,25.33954,82.99385,02-06-2018,Hukulganj,Varunapar
699846.6095,2800981.996,D0025,Dashaswamedh,1.1,Temporary,"D59/143-17, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31205,82.98524,02-06-2018,Shivpurwa,Dashaswamedh
699936.1761,2800986.647,D0026,Dashaswamedh,1.1,Temporary,"D59/107-F, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31208,82.98613,02-06-2018,Shivpurwa,Dashaswamedh
700447.0971,2801982.573,D0027,Chetganj,1.1,Temporary,"Chetganj Road, Badshahbag Colony, Kashi Vidyapith, Chetganj, Varanasi, Uttar Pradesh 221002, India",W041,Dustbin,25.321,82.99135,02-06-2018,Lallapura Khurd,Dashaswamedh
702983.9914,2806254.305,D0028,Sarnath,1.1,Temporary,"Paharia, Varanasi, UP, India",W030,Dustbin,25.35921,83.01718,02-06-2018,Akatha,Varunapar
699765.7887,2801134.81,D0029,Dashaswamedh,1.1,Temporary,"C33/58-1D, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31344,82.98446,02-06-2018,Shivpurwa,Dashaswamedh
698626.794,2807070.143,D0030,Shivpur,1.1,Temporary,"Nawalpur Rd, Rajeev Nagar, Tulsi Vihar Colony, Narayanpur, Varanasi, Uttar Pradesh 221003, India",W006,Dustbin,25.36716,82.97402,02-06-2018,Sarsauli,Varunapar
699955.6344,2801168.648,D0031,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31372,82.98635,02-06-2018,Shivpurwa,Dashaswamedh
699568.0281,2800546.859,D0032,Dashaswamedh,1.1,Temporary,"D59/76B-1, Sigra - Mahmoorganj Rd, Sigra, Varanasi, Uttar Pradesh 221010, India",W032,Dustbin,25.30816,82.98241,02-06-2018,Sigra,Dashaswamedh
703907.2543,2803059.4,D0033,Adampur,1.1,Temporary,"A36/50D2, Golgadda Rd, Ganga Nagar Colony, Aalampura, Varanasi, Uttar Pradesh 221001, India",W008,Dustbin,25.33025,83.02587,02-06-2018,Rajghat,Adampur
699820.4736,2801114.568,D0034,Dashaswamedh,1.1,Temporary,"C33/360-A-8, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31325,82.985,02-06-2018,Shivpurwa,Dashaswamedh
699980.8563,2801165.698,D0035,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31369,82.9866,02-06-2018,Shivpurwa,Dashaswamedh
699936.2418,2800982.216,D0036,Dashaswamedh,1.1,Temporary,"D59/107-F, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31204,82.98613,02-06-2018,Shivpurwa,Dashaswamedh
700816.8739,2802781.411,D0037,Chetganj,1.1,Temporary,"C28/137, Raja Bazar Rd, Maldahiya, Chetganj, Varanasi, Uttar Pradesh 221001, India",W037,Dustbin,25.32816,82.99514,02-06-2018,Jagatganj,Dashaswamedh
698816.0431,2805435.313,D0038,Sikraul,1.1,Temporary,"S-270, Narayanpur, Varanasi, Uttar Pradesh 221003, India",W015,Dustbin,25.35238,82.97566,02-06-2018,Sikraul,Varunapar
699935.4457,2800288.596,D0039,Bhelupur,1.1,Temporary,"D59/43-1, Rathyatra - Mahmoorganj Rd, Mahmoorganj, Varanasi, Uttar Pradesh 221010, India",W059,Dustbin,25.30578,82.98602,02-06-2018,Raneepur,Bhelupur
699910.144,2800976.289,D0040,Dashaswamedh,1.1,Temporary,"Lahurabeer, Varanasi, UP, India",W004,Dustbin,25.31199,82.98587,02-06-2018,Shivpurwa,Dashaswamedh
699966.7761,2801164.381,D0041,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31368,82.98646,02-06-2018,Shivpurwa,Dashaswamedh
699844.5465,2800985.289,D0042,Dashaswamedh,1.1,Temporary,"D59/143-19, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31208,82.98522,02-06-2018,Shivpurwa,Dashaswamedh
698790.6114,2806339.066,D0043,Shivpur,1.1,Temporary,"Sindhora Rd, Narayanpur, Varanasi, Uttar Pradesh 221003, India",W017,Dustbin,25.36054,82.97554,02-06-2018,Narayanpur,Varunapar
701951.6748,2801646.034,D0044,Chowk,1.1,Temporary,"Piyari Rd, Benia Bagh, Varanasi, Uttar Pradesh 221001, India",W060,Dustbin,25.31776,83.00624,02-06-2018,Piyari Kala,Kotwali
700195.0972,2801184.389,D0045,Dashaswamedh,1.1,Temporary,"Sigra Chauraha Rd, Chhittupura, Chetganj, Varanasi, Uttar Pradesh 221002, India",W004,Dustbin,25.31383,82.98873,02-06-2018,Shivpurwa,Dashaswamedh
698197.6696,2797845.323,D0046,Nagwa,1.1,Temporary,"Bhikharipur Chauraha, Varanasi, UP, India",W059,Dustbin,25.28396,82.96841,02-06-2018,Raneepur,Bhelupur
700202.5639,2801291.976,D0047,Chetganj,1.1,Temporary,"D 64/149 C, Vidyapeeth Rd, Madhopur, Sigra, Varanasi, Uttar Pradesh 221001, India",W002,Dustbin,25.3148,82.98882,02-06-2018,Chhittupur,Dashaswamedh
700535.5686,2800299.721,D0048,Bhelupur,1.1,Temporary,"Kamachha Road, Vinayaka, Varanasi 221010, India",W027,Dustbin,25.3058,82.99198,02-06-2018,Virdopur,Bhelupur
699850.588,2800985.379,D0049,Dashaswamedh,1.1,Temporary,"D59/143-17, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31208,82.98528,02-06-2018,Shivpurwa,Dashaswamedh
699867.7491,2801118.593,D0050,Dashaswamedh,1.1,Temporary,"C33/360-A-11, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31328,82.98547,02-06-2018,Shivpurwa,Dashaswamedh
700443.2015,2801973.651,D0051,Chetganj,1.1,Temporary,"Chetganj Road, Badshahbag Colony, Kashi Vidyapith, Chetganj, Varanasi, Uttar Pradesh 221002, India",W041,Dustbin,25.32092,82.99131,02-06-2018,Lallapura Khurd,Dashaswamedh
701123.0227,2802712.848,D0052,Chetganj,1.1,Temporary,"C27/74, Das Nagar Colony, Jagatganj, Chaukaghat, Varanasi, Uttar Pradesh 221002, India",W037,Dustbin,25.3275,82.99817,02-06-2018,Jagatganj,Dashaswamedh
701888.3438,2800427.378,D0053,Dashaswamedh,1.1,Temporary,"Rewari Talab, Varanasi, UP, India",W069,Dustbin,25.30677,83.00543,02-06-2018,Jangambadi,Dashaswamedh
699936.1761,2800986.647,D0054,Dashaswamedh,1.1,Temporary,"D59/107-F, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31208,82.98613,02-06-2018,Shivpurwa,Dashaswamedh
700202.6626,2801285.33,D0055,Chetganj,1.1,Temporary,"Sigra Chauraha Rd, Chhittupura, Chetganj, Varanasi, Uttar Pradesh 221002, India",W002,Dustbin,25.31474,82.98882,02-06-2018,Chhittupur,Dashaswamedh
699857.6692,2800983.267,D0056,Dashaswamedh,1.1,Temporary,"D59/143-17, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31206,82.98535,02-06-2018,Shivpurwa,Dashaswamedh
698352.4898,2798552.276,D0057,Nagwa,1.1,Temporary,"DLW Rd, Jjanki Nagar, Varanasi, Uttar Pradesh 221005, India",W059,Dustbin,25.29032,82.97005,02-06-2018,Raneepur,Bhelupur
699986.3345,2801135.863,D0058,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31342,82.98665,02-06-2018,Shivpurwa,Dashaswamedh
698670.797,2800399.545,D0059,Dashaswamedh,1.1,Temporary,"D59/277, Nirala Nagar, shivpurava, Varanasi, Uttar Pradesh 221010, India",W003,Dustbin,25.30695,82.97348,02-06-2018,Lahartara,Dashaswamedh
700534.5781,2800298.598,D0060,Bhelupur,1.1,Temporary,"Kamachha Road, Vinayaka, Varanasi 221010, India",W027,Dustbin,25.30579,82.99197,02-06-2018,Virdopur,Bhelupur
